测试用例序号,模块,测试点,测试用例标题,优先级,操作步骤,预期结果,最终结果,备注,测试人
testcase_024,会话对话,对话基础流程,发送文本消息并接收AI回复,高,"1 打开agenthub，点击codex
2 在对话输入框输入“你好，介绍一下你自己”
3 点击发送或按Enter键
4 等待AI回复","1 消息发送后显示在对话区域
2 发送状态显示为“发送中”
3 AI回复内容在对话区域逐字流式展示
4 回复完成后显示完整内容
5 消息时间戳正确",,,
testcase_025,会话对话,对话基础流程,发送空消息,高,"1 在对话输入框不输入任何内容
2 点击发送按钮","1 发送按钮为置灰不可点击状态
2 不发送空消息到后端
3 前端给出提示“请输入内容”",,,
testcase_026,会话对话,对话基础流程,发送超长文本消息,中,"1 在输入框输入超过100000字符的文本
2 点击发送","1 文本正常发送或提示超出长度限制
2 应用不崩溃不卡死
3 AI能正常处理(或返回token超限提示)",,,
testcase_027,会话对话,对话基础流程,发送包含特殊字符的消息,中,1 输入包含特殊字符的消息：<>&\'\\n\\t  2 发送消息","1 消息正确渲染显示不出现转义错误
2 特殊字符不被截断
3 AI能正常理解并回复",,,
testcase_028,会话对话,对话基础流程,发送包含SQL注入字符的消息,中,"1 输入消息: '; DROP TABLE users; --
2 发送消息","1 消息被当作普通文本发送
2 不会对本地数据库产生破坏性操作
3 AI正常回复不执行SQL语句",,,
testcase_029,会话对话,对话基础流程,发送包含XSS脚本的消息,中,"1 输入消息: <img src=x onerror=alert(1)>
2 发送消息
3 查看消息渲染效果","1 XSS脚本被安全渲染为普通文本
2 不触发脚本执行
3 界面无弹窗或异常行为",,,
testcase_030,会话对话,对话基础流程,流式响应中断网重连,中,"1 发送一条消息
2 在AI流式回复过程中断开网络
3 等待5秒后恢复网络","1 网络断开时显示连接错误提示
2 恢复网络后可点击重试按钮重新发送
3 或者AI重新开始回复
4 对话历史不丢失",,,
testcase_031,会话对话,对话基础流程,AI回复超时处理,中,"1 发送一条复杂消息
2 设置较短的超时时间
3 等待AI回复","1 超过超时时间后显示超时提示
2 给出重试或取消选项
3 应用不无限等待不卡死",,,
testcase_032,会话对话,对话基础流程,复制AI回复内容,低,"1 等待AI完成回复
2 选中AI回复的部分文本
3 右键点击复制或快捷键Ctrl+C","1 文本可正常选中和复制
2 复制的内容与显示一致
3 不包含多余的格式字符",,,
testcase_033,会话对话,对话基础流程,停止AI生成,高,"1 发送一条消息让AI生成长内容
2 在生成过程中点击停止按钮","1 AI停止生成回复
2 已生成的部分内容保留在对话中
3 输入框恢复可用可继续发送新消息",,,
testcase_034,会话对话,文件上传,上传TXT文件并让AI分析内容,高,"1 在对话界面点击文件上传按钮
2 选择一个.txt文本文件
3 输入消息“请分析这个文件的内容”
4 发送消息","1 文件上传成功显示文件名和大小
2 AI能读取文件内容并进行分析回复
3 回复内容与文件内容相关",,,
testcase_035,会话对话,文件上传,上传PDF文件并让AI分析,高,"1 点击文件上传按钮
2 选择一个PDF文件
3 发送“请总结这个PDF的主要内容”","1 PDF文件上传成功
2 AI使用pdf-parse解析PDF内容
3 AI正确总结PDF的主要内容",,,
testcase_036,会话对话,文件上传,上传Word(.docx)文件,中,"1 点击文件上传按钮
2 选择一个.docx文件
3 发送消息要求AI分析并修改","1 docx文件上传并解析成功
2 AI能读取Word内容并回复
3 AI可根据要求修改并输出新的docx",,,
testcase_037,会话对话,文件上传,上传Excel(.xlsx)文件,中,"1 点击文件上传按钮
2 选择一个.xlsx文件
3 发送“分析这个表格的数据”","1 Excel文件上传并解析成功
2 AI能读取表格数据
3 AI回复包含数据分析结果",,,
testcase_038,会话对话,文件上传,上传不支持的文件格式,中,"1 点击文件上传按钮
2 选择一个.exe可执行文件
3 尝试发送","1 提示不支持该文件格式
2 或者文件被拒绝上传
3 应用不崩溃",,,
testcase_039,会话对话,文件上传,上传超大文件(超过500MB),中,"1 准备一个超过500MB的文件
2 尝试上传该文件","1 前端提示文件大小超过限制
2 不发起上传请求
3 应用不因内存溢出而崩溃",,,
testcase_040,会话对话,文件上传,上传空文件(0KB),低,"1 创建一个0字节的空文件
2 上传该文件并发送消息","1 上传成功或提示文件为空
2 AI回复提示文件无内容
3 不出现解析异常",,,
testcase_041,会话对话,文件上传,同时上传多个文件,中,"1 点击文件上传按钮
2 选择多个不同类型的文件(如txt+pdf+jpg)
3 发送消息让AI分析所有文件","1 所有文件上传成功
2 每个文件显示对应的图标和名称
3 AI能逐一分析各文件内容",,,
testcase_042,会话对话,文件上传,上传文件名包含特殊字符的文件,低,1 创建一个文件名为test<>:\/\\|?*.pdf的文件  2 上传该文件","1 文件名被安全处理或原样上传
2 不会因文件名导致路径遍历或系统错误
3 对话中能正确显示文件名",,,
testcase_043,会话对话,Markdown渲染,AI回复Markdown格式内容正确渲染,高,"1 发送消息要求AI返回包含标题、列表、代码块的Markdown内容
2 等待AI回复","1 标题#正确显示为大标题
2 列表正确缩进和显示项目符号
3 代码块有语法高亮
4 粗体和斜体正确渲染",,,
testcase_044,会话对话,Markdown渲染,AI回复包含代码块的语法高亮,中,"1 发送消息要求AI写一段JavaScript代码
2 等待回复","1 代码块有正确的语法高亮着色
2 关键字、字符串、注释颜色区分明显
3 代码块有复制按钮",,,
testcase_045,会话对话,Markdown渲染,AI回复包含Mermaid图表的渲染,中,"1 发送消息要求AI生成一个Mermaid流程图
2 等待回复","1 Mermaid代码块被渲染为可视化图表
2 图表清晰可缩放
3 图表内容与描述一致",,,
testcase_046,会话对话,Markdown渲染,AI回复包含数学公式(KaTeX)的渲染,中,"1 发送消息要求AI输出数学公式(如二次方程求根公式)
2 等待回复","1 数学公式使用KaTeX正确渲染
2 公式排版美观可读
3 复杂公式(积分、矩阵等)也能正常渲染",,,
testcase_047,会话对话,Markdown渲染,Markdown渲染性能测试(超长回复),低,"1 发送消息要求AI生成超过100行的Markdown内容
2 等待渲染完成","1 Markdown内容完整渲染不截断
2 渲染过程无明显卡顿
3 滚动流畅",,,
testcase_048,会话对话,会话管理,创建新对话,高,"1 在左侧会话列表点击新建对话按钮
2 输入对话标题
3 在新对话中发送消息","1 新对话创建成功
2 对话显示在左侧列表
3 可正常发送接收消息
4 原对话内容不丢失",,,
testcase_049,会话对话,会话管理,重命名已有对话,中,"1 选中一个已有对话
2 右键点击选择重命名或双击标题
3 输入新名称
4 按Enter确认","1 对话标题成功更新为新名称
2 左侧列表同步更新
3 对话内容不受影响",,,
testcase_050,会话对话,会话管理,删除对话,高,"1 选中一个对话
2 点击删除按钮或右键选择删除
3 确认删除操作","1 弹出确认对话框
2 确认后对话从列表中移除
3 对话数据从本地数据库删除
4 其他对话不受影响",,,
testcase_051,会话对话,会话管理,搜索已有对话,中,"1 在对话列表顶部搜索框输入关键字
2 等待搜索结果","1 列表过滤出包含关键字的对话
2 搜索结果实时更新
3 清除搜索后恢复完整列表",,,
testcase_052,会话对话,会话管理,对话分组/文件夹操作,中,"1 创建多个对话
2 创建文件夹并将对话移入文件夹
3 折叠/展开文件夹","1 文件夹创建成功
2 对话可拖拽移入文件夹
3 文件夹可折叠和展开
4 文件夹内的对话保留完整内容和状态",,,
testcase_053,会话对话,会话管理,会话历史持久化验证,高,"1 在对话中发送多条消息
2 关闭AionUi应用
3 重新启动应用
4 打开之前的对话","1 对话历史完整恢复
2 消息内容和顺序正确
3 文件附件仍然可见
4 时间戳正确",,,
testcase_054,会话对话,会话管理,对话数量超过100个时的性能,低,"1 创建超过100个对话
2 在对话列表中快速滚动
3 切换查看不同对话","1 对话列表滚动流畅不卡顿
2 对话切换响应及时
3 搜索过滤功能正常",,,
testcase_055,会话对话,会话管理,并发发送消息到多个对话,中,"1 打开3个对话页签
2 在每个对话中同时发送消息
3 观察各对话的响应","1 每个对话独立处理消息
2 消息不会串到其他对话
3 AI回复正确关联到对应对话
4 应用无卡顿或崩溃",,,
testcase_056,多Agent模式,CLI Agent检测,自动检测已安装的CLI Agent工具,高,"1 确保系统已安装Claude Code
2 启动AionUi
3 进入Agent设置界面","1 AionUi自动检测到Claude Code
2 在Agent列表中显示已安装的CLI工具
3 显示Agent版本号和状态",,,
testcase_057,多Agent模式,CLI Agent检测,手动添加CLI Agent路径,中,"1 进入Agent设置
2 点击手动添加Agent
3 输入Agent的可执行文件路径
4 保存配置","1 Agent被成功添加
2 显示在Agent列表中
3 配置持久化保存
4 下次启动仍然可见",,,
testcase_058,多Agent模式,CLI Agent检测,添加不存在的CLI路径,中,"1 进入Agent设置
2 输入一个不存在的可执行文件路径
3 保存","1 提示路径无效或Agent不存在
2 不保存无效配置
3 不抛出未捕获异常",,,
testcase_059,多Agent模式,多Agent并行,同时运行2个不同Agent的对话,高,"1 开启两个对话页签
2 对话1使用Claude Code
3 对话2使用内置Agent(GPT模型)
4 分别发送不同任务","1 两个Agent同时独立运行
2 互不干扰上下文
3 各自完成对应任务
4 应用资源占用合理不崩溃",,,
testcase_060,多Agent模式,多Agent并行,同时运行5个Agent对话的压力测试,中,"1 开启5个对话
2 每个对话选择不同Agent/模型
3 同时发送消息","1 所有Agent正常响应
2 内存占用在合理范围
3 界面响应流畅
4 无消息串扰",,,
testcase_061,多Agent模式,多Agent并行,一个Agent报错不影响其他Agent,中,"1 对话1使用正常Agent
2 对话2配置错误的Agent
3 同时发送消息","1 对话1正常完成回复
2 对话2显示错误提示
3 对话2的错误不影响对话1
4 整体应用不崩溃",,,
testcase_062,多Agent模式,YOLO模式,启用YOLO模式发送任务,高,"1 在Agent设置中启用YOLO/全自动模式
2 发送一个需要文件操作的复杂任务
3 观察执行过程","1 Agent自动执行任务无需用户手动确认
2 每个操作步骤在对话中展示
3 任务最终完成
4 不弹出权限确认对话框",,,
testcase_063,多Agent模式,YOLO模式,关闭YOLO模式需要用户确认,高,"1 确保YOLO模式关闭
2 发送需要修改文件的指令
3 观察执行过程","1 Agent执行到需要权限的操作时暂停
2 弹出确认对话框展示即将执行的操作
3 用户确认后继续执行
4 用户拒绝后跳过该操作",,,
testcase_064,多Agent模式,YOLO模式,YOLO模式执行危险操作的处理,中,"1 启用YOLO模式
2 发送指令要求删除系统文件
3 观察Agent行为","1 Agent尝试执行或识别为危险操作
2 如执行则在日志中记录
3 建议有安全提示机制",,,
testcase_065,多Agent模式,MCP统一管理,配置MCP工具并同步到所有Agent,高,"1 进入设置→ToolsSettings→MCP配置
2 添加一个MCP工具配置
3 保存配置
4 在不同Agent的对话中尝试调用该MCP工具","1 MCP工具配置成功
2 配置自动同步到所有Agent
3 每个Agent均可调用该MCP工具
4 工具调用结果正确",,,
testcase_066,多Agent模式,MCP统一管理,导入MCP配置JSON文件,中,"1 准备一个MCP配置JSON文件
2 进入MCP设置界面
3 点击导入配置
4 选择JSON文件导入","1 JSON配置被正确解析
2 MCP工具列表更新为新配置
3 已同步到所有Agent",,,
testcase_067,多Agent模式,MCP统一管理,MCP配置导入格式错误的JSON,中,"1 准备一个格式错误的JSON文件
2 尝试导入MCP配置","1 提示JSON格式错误
2 不应用错误的配置
3 原有配置保持不变",,,
testcase_068,多Agent模式,MCP统一管理,删除已配置的MCP工具,中,"1 在MCP设置中找到已配置的工具
2 点击删除
3 确认删除
4 在对话中尝试调用已删除的工具","1 工具从配置列表中移除
2 所有Agent同步更新不再显示该工具
3 对话中无法调用已删除的工具",,,
testcase_069,团队模式,团队创建,创建团队并添加成员,高,"1 进入团队页面(Team)
2 点击创建新团队
3 设置团队名称
4 添加Leader Agent
5 添加2个Teammate Agent
6 保存团队配置","1 团队创建成功
2 团队显示在团队列表中
3 Leader和Teammate正确关联
4 团队状态为就绪",,,
testcase_070,团队模式,团队创建,创建团队时未选择Leader,中,"1 进入团队创建界面
2 仅添加Teammate不选择Leader
3 尝试保存","1 前端校验提示“请选择Leader”
2 无法保存不完整的团队配置",,,
testcase_071,团队模式,团队执行,团队Leader拆解任务并分发,高,"1 进入已有团队
2 发送一个复杂任务指令(如“分析项目代码并生成文档”)
3 等待团队执行","1 Leader接收并拆解任务
2 Leader将子任务分发给Teammate
3 各Teammate并行执行子任务
4 结果汇总并在对话中展示
5 团队执行状态实时更新",,,
testcase_072,团队模式,团队执行,团队执行过程中动态增删成员,中,"1 团队正在执行任务
2 添加一个新Teammate到团队
3 移除一个正在执行任务的Teammate","1 新成员加入后接收新的子任务
2 被移除成员正在执行的任务由Leader重新分配
3 团队继续工作不中断",,,
testcase_073,团队模式,团队执行,团队中一个成员执行失败的处理,中,"1 配置一个包含错误Agent的团队
2 发送任务","1 执行失败的成员报错
2 Leader收到失败通知
3 Leader将任务重新分配给其他成员或自行处理
4 整体任务尽量完成",,,
testcase_074,团队模式,团队通信,团队成员之间的消息通信,中,"1 启动团队任务
2 观察Leader和Teammate之间的通信日志
3 验证消息格式","1 团队成员通过异步邮箱通信
2 消息格式符合Agent Communication Protocol(ACP)
3 通信日志在界面可查看",,,
testcase_075,团队模式,团队通信,团队通信中断的恢复机制,低,"1 团队执行任务中
2 模拟网络中断
3 恢复网络","1 通信中断时任务暂停
2 恢复后自动重试
3 不会丢失已完成的子任务结果",,,
testcase_076,团队模式,权限控制,团队成员权限精细化控制,中,"1 进入团队设置
2 为不同Teammate设置不同权限(文件读写、网络访问等)
3 发送需要不同权限的任务","1 权限设置保存成功
2 无权限的Teammate被限制执行对应操作
3 有权限的Teammate正常执行",,,
testcase_077,定时任务,任务创建,使用自然语言创建定时任务,高,"1 进入定时任务页面(Cron)
2 点击创建任务
3 在描述框输入“每天早上9点抓取最新AI新闻并总结”
4 保存任务","1 自然语言被解析为cron表达式(0 9 * * *)
2 任务描述和时间设置正确保存
3 任务列表中显示新创建的任务
4 任务状态为“已启用”",,,
testcase_078,定时任务,任务创建,使用Cron表达式创建定时任务,高,"1 进入定时任务页面
2 手动输入cron表达式: */30 * * * *
3 填写任务描述“每30分钟检查服务器状态”
4 保存任务","1 Cron表达式验证通过
2 任务描述和时间正确保存
3 任务调度按预期执行",,,
testcase_079,定时任务,任务创建,输入无效Cron表达式,中,"1 进入定时任务创建
2 输入无效cron表达式: * * * * * * (6位)
3 尝试保存","1 前端校验提示Cron表达式格式错误
2 无法保存无效的表达式
3 给出正确的格式参考",,,
testcase_080,定时任务,任务创建,创建只执行一次的一次性任务,中,"1 创建任务
2 选择“一次性触发”调度模式
3 设置执行时间(如当前时间+5分钟)
4 保存任务","1 一次性任务创建成功
2 任务在设定时间自动执行一次
3 执行后任务状态变为“已完成”",,,
testcase_081,定时任务,任务创建,创建固定间隔的重复任务,中,"1 创建任务
2 选择“固定间隔”模式
3 设置每2小时执行一次
4 保存任务","1 间隔任务创建成功
2 任务按设定间隔自动执行
3 下次执行时间正确计算并显示",,,
testcase_082,定时任务,任务执行,定时任务在后台自动执行,高,"1 创建一个1分钟后执行的定时任务
2 关闭定时任务页面回到对话页面
3 等待1分钟后查看对话","1 任务在后台自动执行
2 执行结果出现在绑定的对话中
3 无UI弹窗干扰",,,
testcase_083,定时任务,任务执行,定时任务执行失败的处理,中,"1 创建一个依赖网络的任务
2 断开网络
3 等待任务触发时间","1 任务执行失败
2 任务状态更新为“失败”
3 显示失败原因和时间
4 下次触发时间仍然计算",,,
testcase_084,定时任务,任务执行,多个定时任务同时触发的并发处理,中,"1 创建3个定时任务设置为同一时间触发
2 等待触发时间
3 观察执行情况","1 3个任务均被触发
2 任务按顺序或并行执行
3 各任务执行结果独立正确
4 不出现竞态条件或死锁",,,
testcase_085,定时任务,任务管理,暂停定时任务,高,"1 在任务列表找到一个运行中的任务
2 点击暂停按钮
3 等待原触发时间
4 观察任务是否执行","1 任务状态变为“已暂停”
2 在暂停期间不触发执行
3 可重新启用恢复调度",,,
testcase_086,定时任务,任务管理,编辑已有定时任务的调度时间,中,"1 选中一个已有任务
2 编辑cron表达式或自然语言描述
3 保存修改","1 任务时间更新为新的调度
2 下次执行时间重新计算
3 任务描述同步更新",,,
testcase_087,定时任务,任务管理,删除定时任务,中,"1 选中一个定时任务
2 点击删除
3 确认删除","1 弹出确认对话框
2 确认后任务从列表移除
3 任务不再触发执行",,,
testcase_088,定时任务,任务管理,任务执行日志查看,中,"1 找到已执行过的定时任务
2 查看执行日志/历史记录","1 显示每次执行的时间戳
2 显示执行结果成功/失败
3 失败时显示具体错误信息",,,
testcase_089,定时任务,任务管理,任务绑定的对话保持上下文,中,"1 创建任务时绑定到特定对话
2 任务执行时使用对话中的上下文
3 观察对话历史","1 任务执行时使用绑定的对话
2 对话上下文(如之前讨论的内容)被保留
3 对话历史中能看到任务执行的消息",,,
testcase_090,定时任务,边界测试,Cron表达式最大频率限制,低,"1 尝试创建每分钟执行一次的任务
2 尝试创建每10秒执行的任务(如果支持)","1 有最小间隔限制防止过于频繁
2 超出频率限制时给出提示
3 系统资源消耗在合理范围",,,
testcase_091,定时任务,安全测试,定时任务中注入恶意指令,中,"1 创建定时任务
2 在任务描述中注入rm -rf /命令
3 保存并等待执行","1 任务描述被安全处理
2 不直接执行注入的系统命令
3 不会对系统造成破坏",,,
testcase_092,定时任务,异常处理,电脑休眠期间定时任务到期,中,"1 设置一个定时任务
2 任务触发前让电脑进入休眠
3 唤醒电脑","1 唤醒后过期任务被触发或跳过
2 任务状态正确更新
3 不影响后续任务的调度",,,
testcase_093,定时任务,异常处理,时区修复功能的验证,中,"1 跨时区修改系统时间
2 使用repairCronJobTimeZone功能修复时区
3 检查任务调度时间","1 时区修复后任务调度时间正确
2 不会因时区变化导致任务漏执行或重复执行",,,
testcase_094,Office文档生成,PPT生成,使用PPT助手生成演示文稿,高,"1 在对话中输入“帮我做一个关于人工智能发展的PPT”
2 等待AI生成
3 查看生成的PPT文件","1 AI生成可编辑的.pptx文件
2 PPT包含封面、目录和内容页
3 文件可直接用PowerPoint打开
4 支持Morph动画过渡效果",,,
testcase_095,Office文档生成,PPT生成,PPT生成后下载文件,高,"1 AI生成PPT完成后
2 点击下载按钮
3 选择保存路径","1 PPT文件下载成功
2 文件完整无损坏
3 打开后可正常编辑",,,
testcase_096,Office文档生成,PPT生成,PPT生成复杂布局(图表、图片),中,"1 发送“做一个包含数据图表和市场分析图的PPT”
2 等待生成","1 PPT包含数据图表(柱状图、饼图等)
2 图表数据正确展示
3 图文布局合理
4 文件正常打开",,,
testcase_097,Office文档生成,Word生成,使用Word助手生成文档,高,"1 在对话中输入“帮我写一篇关于区块链的学术论文”
2 等待AI生成
3 下载生成的Word文档","1 AI生成.docx文件
2 文档包含标题、摘要、正文、参考文献
3 格式排版专业
4 文件可正常用Word打开编辑",,,
testcase_098,Office文档生成,Word生成,Word文档生成合同模板,中,"1 发送“生成一份软件开发合同模板”
2 等待生成","1 生成的合同包含标准条款
2 包含甲乙方信息占位符
3 条款格式规范
4 文件可正常下载",,,
testcase_099,Office文档生成,Excel生成,使用Excel助手生成数据分析表格,高,"1 在对话中输入“帮我创建一个销售数据分析表”
2 等待AI生成
3 下载生成的Excel文件","1 AI生成.xlsx文件
2 表格包含数据和格式
3 可能包含图表和公式
4 文件用Excel正常打开",,,
testcase_100,Office文档生成,Excel生成,Excel生成CSV格式文件,中,"1 发送“生成一个CSV格式的用户数据表”
2 等待生成",".csv文件生成
2 CSV分隔符正确
3 表头和数据行完整
4 文件可正常打开",,,
testcase_101,Office文档生成,Office生成边界,生成空内容的PPT,低,"1 发送“生成一个空白PPT”
2 等待生成","1 可能生成包含基本结构的PPT
2 或提示内容太简单无法生成
3 不生成损坏的文件",,,
testcase_102,Office文档生成,Office生成异常,生成过程中网络中断的处理,中,"1 请求生成一个大型PPT
2 在生成过程中断开网络
3 恢复网络后重试","1 生成失败时有明确提示
2 之前的进度不会生成损坏文件
3 恢复后可重新请求生成",,,
testcase_103,预览面板,文件预览,预览PDF文件,高,"1 在对话中上传一个PDF文件
2 点击文件预览按钮
3 在预览面板查看","1 预览面板正确渲染PDF内容
2 支持翻页和缩放
3 文本内容清晰可读",,,
testcase_104,预览面板,文件预览,预览Word文档,高,"1 在对话中上传一个.docx文件
2 点击预览按钮","1 Word文档内容正确渲染
2 格式(标题、粗体、列表等)基本保留
3 预览面板加载速度合理",,,
testcase_105,预览面板,文件预览,预览Excel表格,高,"1 上传一个.xlsx文件
2 点击预览","1 表格数据正确显示
2 列宽行高基本保持
3 多个Sheet页可切换",,,
testcase_106,预览面板,文件预览,预览代码文件(语法高亮),中,"1 上传一个.ts或.py代码文件
2 预览文件","1 代码有语法高亮
2 显示行号
3 支持代码折叠(如支持)",,,
testcase_107,预览面板,文件预览,预览HTML文件,中,"1 上传一个HTML文件
2 预览文件","1 HTML被渲染为可视化页面
2 或显示HTML源码(安全模式)
3 不执行潜在恶意脚本",,,
testcase_108,预览面板,文件预览,预览Diff文件,中,"1 上传或生成一个diff/patch文件
2 预览diff","1 差异对比清晰展示
2 新增行绿色标识删除行红色标识
3 文件路径和行号正确显示",,,
testcase_109,预览面板,文件预览,预览超大文件(100MB),低,"1 上传一个100MB的文本文件
2 尝试预览","1 可能有大小限制提示
2 或分页/流式加载
3 应用不因内存溢出崩溃",,,
testcase_110,预览面板,文件预览,切换预览多个文件,中,"1 上传3个不同类型的文件
2 依次点击预览每个文件
3 在预览间切换","1 每个文件预览正确切换
2 预览面板及时更新内容
3 无残留渲染问题",,,
testcase_111,预览面板,版本历史,基于Git的版本历史查看,中,"1 在AI修改文件后
2 打开预览面板的版本历史功能
3 对比不同版本","1 显示文件的版本列表
2 可选择查看不同版本
3 版本间差异对比正确",,,
testcase_112,国际化(i18n),语言切换,切换到中文界面,高,"1 进入设置→系统设置
2 在语言选择中选择“中文(简体)”
3 观察界面变化","1 所有菜单、按钮、标签变为中文
2 对话框和提示信息也变为中文
3 切换后无需重启即可生效",,,
testcase_113,国际化(i18n),语言切换,切换到英文界面,高,"1 进入系统设置
2 选择“English”
3 观察界面","1 所有UI文本切换为英文
2 切换即时生效
3 设置项保存持久化",,,
testcase_114,国际化(i18n),语言切换,切换到德语(de-DE),中,"1 进入系统设置
2 选择“Deutsch”
3 观察界面","1 界面切换为德语
2 所有核心UI文本均翻译
3 无缺失翻译导致的空白显示",,,
testcase_115,国际化(i18n),语言切换,切换到波斯语(fa-IR),中,"1 进入系统设置
2 选择“فارسی”或波斯语
3 观察界面","1 界面切换为波斯语(RTL布局如支持)
2 文本正确翻译
3 无布局错乱",,,
testcase_116,国际化(i18n),语言切换,切换到西班牙语(es-ES),中,"1 进入系统设置
2 选择“Español”
3 观察界面","1 界面完整切换为西班牙语
2 所有新增UI文本均已翻译(2.1.28完整翻译)",,,
testcase_117,国际化(i18n),语言切换,切换语言后恢复默认语言,低,"1 先切换到日语
2 再切换回系统默认语言
3 关闭并重启应用","1 语言设置持久化
2 重启后仍保持上次选择的语言
3 可正常切回默认语言",,,
testcase_118,国际化(i18n),边界测试,新增功能文本未翻译的处理,中,"1 切换到非英文语言
2 使用新增功能(可能尚未完全翻译)
3 观察未翻译文本的展示","1 未翻译文本显示英文原文作为回退
2 不显示空白或i18n key原始字符串
3 不引起界面崩溃",,,
testcase_119,设置页面,系统设置,修改字体大小,中,"1 进入设置→SystemSettings
2 调整字体大小滑块
3 保存设置
4 回到对话界面查看","1 对话区域字体大小按设置变化
2 设置实时预览(如支持)
3 重启后设置保持",,,
testcase_120,设置页面,系统设置,切换主题颜色(浅色/深色/跟随系统),高,"1 进入设置→SystemSettings
2 选择“深色模式”
3 查看界面变化
4 再切换为“跟随系统”","1 深色模式下所有界面变为深色主题
2 颜色对比度合理文字可读
3 跟随系统模式下主题随OS主题切换而变化",,,
testcase_121,设置页面,系统设置,自定义CSS样式,中,"1 进入系统设置
2 在自定义CSS输入框写入CSS代码
3 保存
4 回到主界面观察","1 CSS样式生效应用到界面
2 非法CSS不影响界面正常功能
3 可清除自定义CSS恢复默认",,,
testcase_122,设置页面,Agent设置,配置ACP(Agent Communication Protocol),中,"1 进入AgentSettings→ACP配置
2 启用ACP
3 添加Agent间的通信配置
4 保存","1 ACP配置正确保存
2 Agent间通信正常
3 可在团队模式中验证通信",,,
testcase_123,设置页面,工具设置,配置内置工具启用/禁用,中,"1 进入ToolsSettings
2 启用文件搜索工具、网页浏览工具
3 禁用图像生成工具
4 保存并在对话中测试","1 启用的工具在对话中可用
2 禁用的工具在对话中不出现或不可用
3 工具状态持久化保存",,,
